Datetime,Open,High,Low,Close,Volume
2024-07-01 09:15:00+05:30,79043.35,79099.75,78971.79,79040.99,0
2024-07-01 09:20:00+05:30,79044.44,79102.36,79014.49,79084.74,0
2024-07-01 09:25:00+05:30,79086.39,79142.55,79052.08,79126.03,0
2024-07-01 09:30:00+05:30,79126.43,79196.58,79097.9,79101.95,0
2024-07-01 09:35:00+05:30,79100.62,79199.6,79083.07,79187.47,0
2024-07-01 09:40:00+05:30,79187.84,79272.92,79177.47,79248.32,0
2024-07-01 09:45:00+05:30,79259.2,79265.82,79189.47,79200.57,0
2024-07-01 09:50:00+05:30,79198.43,79254.86,79176.61,79220.97,0
2024-07-01 09:55:00+05:30,79220.35,79275.18,79211.51,79244.32,0
2024-07-01 10:00:00+05:30,79245.08,79279.55,79223.41,79268.41,0
2024-07-01 10:05:00+05:30,79266.58,79297.0,79232.54,79291.14,0
2024-07-01 10:10:00+05:30,79294.3,79295.21,79137.08,79148.2,0
2024-07-01 10:15:00+05:30,79154.98,79218.52,79152.02,79174.05,0
2024-07-01 10:20:00+05:30,79180.7,79227.42,79157.8,79215.58,0
2024-07-01 10:25:00+05:30,79216.26,79242.64,79206.26,79212.5,0
2024-07-01 10:30:00+05:30,79213.87,79282.42,79205.19,79262.04,0
2024-07-01 10:35:00+05:30,79263.59,79267.14,79218.59,79227.55,0
2024-07-01 10:40:00+05:30,79224.28,79248.94,79193.22,79232.28,0
2024-07-01 10:45:00+05:30,79227.47,79248.74,79175.6,79235.12,0
2024-07-01 10:50:00+05:30,79234.41,79268.57,79210.69,79265.59,0
2024-07-01 10:55:00+05:30,79258.6,79270.83,79211.37,79217.04,0
2024-07-01 11:00:00+05:30,79217.32,79257.43,79217.32,79219.86,0
2024-07-01 11:05:00+05:30,79217.3,79235.55,79180.95,79230.42,0
2024-07-01 11:10:00+05:30,79225.33,79236.72,79193.32,79230.17,0
2024-07-01 11:15:00+05:30,79223.77,79295.0,79199.37,79280.56,0
2024-07-01 11:20:00+05:30,79283.3,79308.23,79257.18,79282.05,0
2024-07-01 11:25:00+05:30,79281.5,79355.82,79269.75,79351.15,0
2024-07-01 11:30:00+05:30,79355.38,79370.12,79297.03,79312.18,0
2024-07-01 11:35:00+05:30,79313.01,79352.57,79301.5,79351.92,0
2024-07-01 11:40:00+05:30,79357.07,79380.74,79339.58,79369.89,0
2024-07-01 11:45:00+05:30,79370.25,79387.22,79340.78,79373.94,0
2024-07-01 11:50:00+05:30,79372.64,79379.34,79336.73,79342.74,0
2024-07-01 11:55:00+05:30,79346.46,79366.7,79331.32,79340.32,0
2024-07-01 12:00:00+05:30,79340.25,79371.58,79340.25,79366.1,0
