Datetime,Open,High,Low,Close,Volume
2023-04-03 09:15:00+05:30,59131.16,59185.63,59038.59,59043.6,0
2023-04-03 09:20:00+05:30,59043.94,59049.18,58966.89,59045.1,0
2023-04-03 09:25:00+05:30,59046.1,59047.28,58879.74,58894.45,0
2023-04-03 09:30:00+05:30,58891.52,58960.57,58866.68,58946.03,0
2023-04-03 09:35:00+05:30,58948.29,58954.62,58880.96,58887.04,0
2023-04-03 09:40:00+05:30,58884.73,58966.47,58843.57,58955.64,0
2023-04-03 09:45:00+05:30,58954.63,59033.49,58949.69,59019.74,0
2023-04-03 09:50:00+05:30,59022.53,59025.22,58977.92,58977.92,0
2023-04-03 09:55:00+05:30,58977.92,59007.95,58944.54,59007.95,0
2023-04-03 10:00:00+05:30,59012.07,59042.72,58975.46,58978.16,0
2023-04-03 10:05:00+05:30,58979.45,59000.42,58958.7,58980.22,0
2023-04-03 10:10:00+05:30,58980.22,59028.54,58979.49,58999.16,0
2023-04-03 10:15:00+05:30,58998.36,58999.23,58942.05,58949.2,0
2023-04-03 10:20:00+05:30,58948.47,59024.18,58946.39,59016.33,0
2023-04-03 10:25:00+05:30,59014.88,59016.27,58960.22,58967.83,0
2023-04-03 10:30:00+05:30,58973.44,58984.76,58935.22,58956.21,0
2023-04-03 10:35:00+05:30,58954.75,58966.27,58941.82,58958.68,0
2023-04-03 10:40:00+05:30,58957.39,58958.65,58871.06,58874.78,0
2023-04-03 10:45:00+05:30,58874.78,58932.54,58871.31,58931.1,0
2023-04-03 10:50:00+05:30,58930.68,58930.68,58880.42,58884.5,0
2023-04-03 10:55:00+05:30,58885.13,58893.27,58852.62,58881.53,0
2023-04-03 11:00:00+05:30,58886.35,58908.76,58886.2,58896.89,0
2023-04-03 11:05:00+05:30,58895.72,58900.34,58866.04,58866.52,0
2023-04-03 11:10:00+05:30,58865.92,58871.51,58822.55,58828.76,0
2023-04-03 11:15:00+05:30,58826.61,58851.32,58825.79,58849.15,0
2023-04-03 11:20:00+05:30,58846.15,58848.77,58823.74,58830.1,0
2023-04-03 11:25:00+05:30,58830.05,58842.65,58804.03,58804.03,0
2023-04-03 11:30:00+05:30,58803.91,58836.5,58794.3,58833.15,0
2023-04-03 11:35:00+05:30,58836.84,58870.07,58829.81,58867.84,0
2023-04-03 11:40:00+05:30,58865.14,58890.86,58861.38,58870.44,0
2023-04-03 11:45:00+05:30,58870.44,58915.44,58865.56,58903.15,0
2023-04-03 11:50:00+05:30,58903.15,58944.08,58892.9,58931.92,0
2023-04-03 11:55:00+05:30,58931.2,58945.06,58895.51,58910.62,0
2023-04-03 12:00:00+05:30,58912.82,58927.34,58890.41,58911.08,0
2023-04-03 12:05:00+05:30,58912.38,58965.56,58912.38,58962.86,0
2023-04-03 12:10:00+05:30,58967.99,58987.18,58941.09,58942.59,0
2023-04-03 12:15:00+05:30,58942.57,58981.25,58930.73,58977.35,0
2023-04-03 12:20:00+05:30,58979.11,58986.02,58950.14,58961.22,0
2023-04-03 12:25:00+05:30,58961.22,58961.22,58917.11,58959.15,0
2023-04-03 12:30:00+05:30,58959.97,58972.63,58929.05,58950.35,0
2023-04-03 12:35:00+05:30,58947.6,58958.32,58927.93,58936.05,0
2023-04-03 12:40:00+05:30,58936.05,58956.03,58912.8,58945.4,0
2023-04-03 12:45:00+05:30,58945.54,58961.68,58930.72,58953.97,0
2023-04-03 12:50:00+05:30,58952.96,58981.74,58952.12,58959.73,0
2023-04-03 12:55:00+05:30,58958.11,58960.06,58921.45,58925.39,0
2023-04-03 13:00:00+05:30,58925.39,58939.8,58899.56,58934.07,0
2023-04-03 13:05:00+05:30,58933.6,59004.29,58932.82,58943.77,0
2023-04-03 13:10:00+05:30,58943.4,58955.47,58933.14,58934.52,0
2023-04-03 13:15:00+05:30,58934.95,58943.36,58914.02,58932.49,0
2023-04-03 13:20:00+05:30,58932.08,58956.47,58930.55,58944.84,0
2023-04-03 13:25:00+05:30,58944.45,58944.45,58911.49,58920.37,0
2023-04-03 13:30:00+05:30,58920.89,58959.48,58920.89,58959.44,0
2023-04-03 13:35:00+05:30,58958.12,58971.99,58918.94,58924.39,0
2023-04-03 13:40:00+05:30,58922.53,58935.38,58903.06,58922.02,0
