Datetime,Open,High,Low,Close,Volume
2023-01-02 09:15:00+05:30,60871.24,60963.11,60853.18,60853.18,0
2023-01-02 09:20:00+05:30,60855.77,60925.84,60789.96,60919.41,0
2023-01-02 09:25:00+05:30,60916.24,60926.41,60788.91,60809.55,0
2023-01-02 09:30:00+05:30,60806.23,60900.86,60765.02,60884.4,0
2023-01-02 09:35:00+05:30,60879.63,60978.47,60866.03,60978.47,0
2023-01-02 09:40:00+05:30,60973.96,60994.84,60948.62,60994.84,0
2023-01-02 09:45:00+05:30,60993.56,61062.33,60979.88,61053.81,0
2023-01-02 09:50:00+05:30,61050.89,61061.81,61033.84,61055.67,0
2023-01-02 09:55:00+05:30,61054.15,61068.76,61033.96,61038.14,0
2023-01-02 10:00:00+05:30,61041.87,61060.78,61027.28,61048.63,0
2023-01-02 10:05:00+05:30,61050.66,61079.51,61043.43,61065.82,0
2023-01-02 10:10:00+05:30,61066.53,61074.49,61040.16,61043.86,0
2023-01-02 10:15:00+05:30,61043.58,61049.62,61024.52,61046.34,0
2023-01-02 10:20:00+05:30,61045.76,61074.96,61043.13,61055.1,0
2023-01-02 10:25:00+05:30,61051.3,61064.39,61029.56,61029.57,0
2023-01-02 10:30:00+05:30,61029.31,61070.43,61025.49,61050.15,0
2023-01-02 10:35:00+05:30,61050.26,61130.06,61039.53,61126.04,0
2023-01-02 10:40:00+05:30,61123.51,61134.67,61096.64,61114.44,0
2023-01-02 10:45:00+05:30,61111.96,61125.27,61071.47,61091.35,0
2023-01-02 10:50:00+05:30,61090.88,61097.75,61060.65,61095.99,0
2023-01-02 10:55:00+05:30,61097.03,61116.94,61092.85,61104.16,0
2023-01-02 11:00:00+05:30,61101.95,61151.32,61095.42,61144.04,0
2023-01-02 11:05:00+05:30,61141.97,61167.12,61136.7,61152.71,0
2023-01-02 11:10:00+05:30,61152.29,61169.57,61121.46,61121.82,0
2023-01-02 11:15:00+05:30,61122.54,61140.13,61111.24,61129.76,0
2023-01-02 11:20:00+05:30,61129.79,61140.44,61107.77,61107.77,0
2023-01-02 11:25:00+05:30,61107.77,61123.88,61078.43,61114.61,0
2023-01-02 11:30:00+05:30,61114.64,61114.64,61067.33,61068.76,0
2023-01-02 11:35:00+05:30,61069.11,61102.8,61066.69,61096.25,0
2023-01-02 11:40:00+05:30,61096.94,61126.31,61092.73,61122.56,0
2023-01-02 11:45:00+05:30,61122.65,61126.04,61089.85,61091.21,0
2023-01-02 11:50:00+05:30,61091.73,61096.92,61057.5,61070.45,0
2023-01-02 11:55:00+05:30,61065.89,61082.36,61056.76,61065.06,0
2023-01-02 12:00:00+05:30,61065.59,61089.04,61058.54,61079.66,0
2023-01-02 12:05:00+05:30,61079.66,61104.26,61077.93,61090.64,0
2023-01-02 12:10:00+05:30,61090.64,61133.81,61090.64,61125.85,0
2023-01-02 12:15:00+05:30,61126.46,61154.5,61125.6,61139.51,0
2023-01-02 12:20:00+05:30,61140.22,61148.99,61108.84,61111.46,0
2023-01-02 12:25:00+05:30,61111.0,61111.0,61045.27,61060.8,0
2023-01-02 12:30:00+05:30,61060.8,61100.0,61054.73,61087.85,0
2023-01-02 12:35:00+05:30,61087.46,61116.77,61058.54,61058.54,0
2023-01-02 12:40:00+05:30,61058.85,61064.26,61047.68,61059.06,0
2023-01-02 12:45:00+05:30,61059.93,61072.84,61038.31,61063.94,0
2023-01-02 12:50:00+05:30,61061.69,61074.71,61035.87,61040.35,0
2023-01-02 12:55:00+05:30,61040.26,61040.85,61023.07,61030.49,0
2023-01-02 13:00:00+05:30,61031.58,61077.53,61031.58,61070.24,0
2023-01-02 13:05:00+05:30,61072.11,61092.11,61065.91,61083.57,0
2023-01-02 13:10:00+05:30,61086.01,61117.31,61076.7,61106.28,0
2023-01-02 13:15:00+05:30,61107.43,61124.98,61097.54,61114.27,0
2023-01-02 13:20:00+05:30,61114.03,61133.26,61104.59,61113.85,0
2023-01-02 13:25:00+05:30,61115.45,61128.29,61103.69,61105.84,0
2023-01-02 13:30:00+05:30,61105.61,61114.84,61071.54,61085.74,0
2023-01-02 13:35:00+05:30,61086.0,61107.82,61080.58,61102.3,0
2023-01-02 13:40:00+05:30,61102.3,61111.33,61075.7,61079.2,0
2023-01-02 13:45:00+05:30,61079.2,61091.38,61070.6,61083.47,0
2023-01-02 13:50:00+05:30,61083.32,61087.28,61049.24,61057.85,0
2023-01-02 13:55:00+05:30,61058.78,61075.46,61044.3,61044.37,0
2023-01-02 14:00:00+05:30,61047.95,61070.25,61033.01,61049.05,0
2023-01-02 14:05:00+05:30,61051.06,61081.65,61035.19,61080.41,0
2023-01-02 14:10:00+05:30,61076.74,61088.61,61069.88,61078.55,0
2023-01-02 14:15:00+05:30,61078.9,61078.9,60946.63,60951.72,0
2023-01-02 14:20:00+05:30,60951.09,60976.61,60912.75,60975.07,0
2023-01-02 14:25:00+05:30,60974.13,61012.29,60967.02,61003.61,0
2023-01-02 14:30:00+05:30,61002.45,61016.61,60978.69,61016.61,0
2023-01-02 14:35:00+05:30,61017.39,61028.6,60995.58,61019.62,0
2023-01-02 14:40:00+05:30,61019.67,61044.43,61013.85,61024.26,0
2023-01-02 14:45:00+05:30,61023.82,61156.15,61023.61,61142.4,0
2023-01-02 14:50:00+05:30,61140.66,61186.76,61140.09,61161.52,0
2023-01-02 14:55:00+05:30,61159.94,61187.65,61119.91,61121.2,0
2023-01-02 15:00:00+05:30,61121.51,61134.96,61102.58,61126.31,0
2023-01-02 15:05:00+05:30,61126.03,61169.47,61082.14,61165.82,0
2023-01-02 15:10:00+05:30,61182.46,61182.46,61126.75,61142.97,0
2023-01-02 15:15:00+05:30,61142.51,61183.94,61141.43,61181.06,0
2023-01-02 15:20:00+05:30,61181.22,61201.78,61171.75,61181.54,0
2023-01-02 15:25:00+05:30,61181.56,61221.68,61181.21,61203.24,0
2023-01-03 09:15:00+05:30,61074.88,61100.98,61009.43,61051.92,0
2023-01-03 09:20:00+05:30,61056.58,61106.65,61027.37,61088.89,0
2023-01-03 09:25:00+05:30,61086.88,61086.88,61004.04,61042.22,0
2023-01-03 09:30:00+05:30,61047.56,61148.26,61046.11,61130.16,0
2023-01-03 09:35:00+05:30,61129.04,61161.49,61119.83,61122.2,0
2023-01-03 09:40:00+05:30,61124.21,61162.36,61123.79,61155.34,0
2023-01-03 09:45:00+05:30,61155.13,61201.92,61137.37,61182.67,0
2023-01-03 09:50:00+05:30,61182.36,61196.93,61163.39,61185.62,0
2023-01-03 09:55:00+05:30,61185.63,61199.98,61161.29,61196.31,0
2023-01-03 10:00:00+05:30,61196.74,61207.95,61175.37,61182.05,0
2023-01-03 10:05:00+05:30,61181.19,61254.24,61173.58,61248.12,0
2023-01-03 10:10:00+05:30,61246.83,61290.06,61245.85,61275.99,0
2023-01-03 10:15:00+05:30,61277.42,61288.57,61259.07,61269.67,0
2023-01-03 10:20:00+05:30,61266.97,61272.57,61246.16,61249.25,0
2023-01-03 10:25:00+05:30,61249.25,61252.87,61222.62,61226.35,0
2023-01-03 10:30:00+05:30,61223.62,61277.19,61223.04,61274.36,0
2023-01-03 10:35:00+05:30,61276.2,61291.12,61250.48,61257.23,0
2023-01-03 10:40:00+05:30,61257.52,61268.68,61236.34,61243.11,0
2023-01-03 10:45:00+05:30,61242.41,61242.41,61203.23,61219.64,0
2023-01-03 10:50:00+05:30,61221.43,61271.08,61218.96,61264.54,0
2023-01-03 10:55:00+05:30,61264.21,61274.83,61232.43,61245.55,0
2023-01-03 11:00:00+05:30,61246.22,61265.83,61244.04,61250.38,0
2023-01-03 11:05:00+05:30,61250.78,61275.89,61238.88,61252.82,0
2023-01-03 11:10:00+05:30,61252.82,61298.43,61251.89,61274.74,0
2023-01-03 11:15:00+05:30,61270.95,61296.83,61270.66,61283.47,0
2023-01-03 11:20:00+05:30,61282.02,61287.02,61236.34,61249.91,0
2023-01-03 11:25:00+05:30,61249.91,61278.5,61238.43,61275.76,0
2023-01-03 11:30:00+05:30,61275.83,61299.75,61262.39,61275.91,0
2023-01-03 11:35:00+05:30,61275.8,61297.89,61261.48,61262.67,0
2023-01-03 11:40:00+05:30,61262.59,61265.13,61236.31,61260.42,0
2023-01-03 11:45:00+05:30,61260.42,61274.45,61258.83,61267.69,0
2023-01-03 11:50:00+05:30,61267.37,61273.2,61247.76,61256.45,0
2023-01-03 11:55:00+05:30,61253.8,61258.73,61204.19,61222.38,0
2023-01-03 12:00:00+05:30,61222.3,61240.38,61198.12,61199.95,0
2023-01-03 12:05:00+05:30,61202.62,61214.2,61185.63,61190.67,0
2023-01-03 12:10:00+05:30,61191.94,61205.67,61156.86,61163.01,0
2023-01-03 12:15:00+05:30,61161.79,61165.38,61115.15,61125.11,0
2023-01-03 12:20:00+05:30,61125.74,61142.67,61044.2,61060.55,0
2023-01-03 12:25:00+05:30,61060.94,61098.21,61055.6,61088.24,0
2023-01-03 12:30:00+05:30,61088.6,61096.43,61056.12,61056.12,0
2023-01-03 12:35:00+05:30,61060.91,61105.88,61060.91,61086.04,0
2023-01-03 12:40:00+05:30,61086.04,61113.19,61086.04,61097.47,0
2023-01-03 12:45:00+05:30,61098.53,61123.98,61085.66,61085.66,0
2023-01-03 12:50:00+05:30,61085.66,61107.97,61073.32,61097.04,0
2023-01-03 12:55:00+05:30,61096.81,61121.23,61090.33,61100.48,0
2023-01-03 13:00:00+05:30,61097.42,61124.71,61097.42,61123.89,0
2023-01-03 13:05:00+05:30,61123.56,61133.0,61095.17,61099.31,0
2023-01-03 13:10:00+05:30,61098.34,61121.97,61077.13,61121.04,0
2023-01-03 13:15:00+05:30,61121.05,61147.13,61116.04,61130.69,0
2023-01-03 13:20:00+05:30,61130.69,61150.95,61123.6,61137.5,0
2023-01-03 13:25:00+05:30,61137.77,61145.18,61111.3,61143.25,0
2023-01-03 13:30:00+05:30,61143.46,61188.58,61143.46,61165.57,0
2023-01-03 13:35:00+05:30,61165.18,61180.46,61147.85,61148.19,0
2023-01-03 13:40:00+05:30,61148.21,61177.55,61147.51,61171.98,0
2023-01-03 13:45:00+05:30,61172.49,61207.75,61169.56,61207.75,0
2023-01-03 13:50:00+05:30,61207.75,61244.96,61207.75,61227.4,0
2023-01-03 13:55:00+05:30,61226.78,61252.69,61221.7,61242.3,0
2023-01-03 14:00:00+05:30,61242.75,61252.05,61218.1,61247.93,0
2023-01-03 14:05:00+05:30,61249.53,61249.53,61219.56,61244.9,0
2023-01-03 14:10:00+05:30,61239.42,61243.95,61202.6,61203.36,0
2023-01-03 14:15:00+05:30,61203.23,61256.38,61197.16,61249.98,0
2023-01-03 14:20:00+05:30,61249.98,61287.86,61239.77,61277.4,0
2023-01-03 14:25:00+05:30,61276.62,61286.67,61256.85,61266.71,0
2023-01-03 14:30:00+05:30,61266.11,61295.71,61262.27,61295.71,0
2023-01-03 14:35:00+05:30,61296.37,61301.94,61263.99,61270.77,0
2023-01-03 14:40:00+05:30,61271.68,61300.06,61271.68,61299.87,0
2023-01-03 14:45:00+05:30,61299.99,61337.88,61299.1,61326.77,0
2023-01-03 14:50:00+05:30,61326.77,61343.96,61310.38,61310.38,0
2023-01-03 14:55:00+05:30,61318.91,61328.19,61279.55,61286.24,0
2023-01-03 15:00:00+05:30,61293.9,61295.38,61218.33,61263.33,0
2023-01-03 15:05:00+05:30,61263.33,61277.67,61250.22,61271.77,0
2023-01-03 15:10:00+05:30,61284.6,61325.08,61272.25,61317.85,0
2023-01-03 15:15:00+05:30,61316.99,61324.23,61276.05,61289.64,0
2023-01-03 15:20:00+05:30,61290.44,61323.45,61279.98,61308.25,0
2023-01-03 15:25:00+05:30,61303.6,61316.55,61277.21,61296.05,0
2023-01-04 09:15:00+05:30,61294.65,61322.91,61191.29,61223.12,0
2023-01-04 09:20:00+05:30,61225.9,61264.77,61216.72,61259.01,0
2023-01-04 09:25:00+05:30,61259.31,61314.97,61252.46,61303.01,0
2023-01-04 09:30:00+05:30,61293.31,61324.55,61268.03,61269.12,0
2023-01-04 09:35:00+05:30,61266.51,61272.13,61101.74,61105.1,0
2023-01-04 09:40:00+05:30,61104.73,61128.3,61074.06,61074.06,0
2023-01-04 09:45:00+05:30,61077.22,61080.85,61026.73,61065.43,0
2023-01-04 09:50:00+05:30,61058.49,61078.68,61027.81,61048.91,0
2023-01-04 09:55:00+05:30,61047.37,61048.11,60957.24,60957.43,0
2023-01-04 10:00:00+05:30,60952.27,60952.27,60905.15,60947.38,0
2023-01-04 10:05:00+05:30,60947.68,60988.42,60934.18,60977.72,0
2023-01-04 10:10:00+05:30,60978.03,60985.89,60937.05,60952.21,0
2023-01-04 10:15:00+05:30,60951.54,60968.53,60928.05,60961.44,0
2023-01-04 10:20:00+05:30,60961.37,61014.15,60959.23,61011.55,0
2023-01-04 10:25:00+05:30,61010.9,61049.74,60994.63,61039.27,0
2023-01-04 10:30:00+05:30,61036.39,61050.86,61028.75,61050.86,0
2023-01-04 10:35:00+05:30,61050.78,61054.9,61024.8,61034.14,0
2023-01-04 10:40:00+05:30,61037.81,61037.81,60965.91,60986.13,0
2023-01-04 10:45:00+05:30,60987.29,60997.85,60951.91,60979.93,0
2023-01-04 10:50:00+05:30,60979.83,60984.5,60941.06,60945.57,0
2023-01-04 10:55:00+05:30,60945.78,60969.83,60931.38,60968.43,0
2023-01-04 11:00:00+05:30,60968.59,60981.15,60908.14,60908.83,0
2023-01-04 11:05:00+05:30,60910.43,60910.43,60841.18,60847.25,0
2023-01-04 11:10:00+05:30,60847.44,60862.75,60824.19,60842.13,0
2023-01-04 11:15:00+05:30,60838.12,60893.03,60838.12,60891.45,0
2023-01-04 11:20:00+05:30,60888.86,60898.45,60863.63,60869.06,0
2023-01-04 11:25:00+05:30,60867.43,60881.51,60852.02,60878.59,0
2023-01-04 11:30:00+05:30,60880.98,60888.33,60835.08,60839.03,0
2023-01-04 11:35:00+05:30,60840.3,60872.73,60840.3,60868.37,0
2023-01-04 11:40:00+05:30,60868.37,60874.84,60852.0,60854.62,0
2023-01-04 11:45:00+05:30,60855.18,60856.18,60797.73,60800.32,0
2023-01-04 11:50:00+05:30,60801.87,60809.89,60765.49,60765.49,0
2023-01-04 11:55:00+05:30,60762.23,60778.63,60747.57,60778.63,0
2023-01-04 12:00:00+05:30,60777.63,60779.76,60708.08,60714.88,0
2023-01-04 12:05:00+05:30,60714.13,60731.55,60657.47,60659.09,0
2023-01-04 12:10:00+05:30,60658.02,60685.3,60633.32,60652.08,0
2023-01-04 12:15:00+05:30,60652.43,60700.45,60648.8,60698.99,0
2023-01-04 12:20:00+05:30,60699.66,60718.61,60685.21,60715.9,0
2023-01-04 12:25:00+05:30,60721.13,60721.56,60701.76,60706.09,0
2023-01-04 12:30:00+05:30,60705.71,60716.17,60662.6,60675.27,0
2023-01-04 12:35:00+05:30,60675.27,60707.35,60665.57,60685.1,0
2023-01-04 12:40:00+05:30,60684.46,60710.26,60676.44,60708.96,0
2023-01-04 12:45:00+05:30,60708.99,60759.89,60708.84,60754.27,0
2023-01-04 12:50:00+05:30,60752.62,60768.11,60724.68,60726.04,0
2023-01-04 12:55:00+05:30,60726.17,60741.52,60700.03,60700.12,0
2023-01-04 13:00:00+05:30,60700.7,60787.54,60700.7,60787.54,0
2023-01-04 13:05:00+05:30,60788.7,60789.88,60758.59,60760.4,0
2023-01-04 13:10:00+05:30,60757.84,60781.17,60743.57,60768.91,0
2023-01-04 13:15:00+05:30,60769.67,60781.84,60742.73,60749.84,0
2023-01-04 13:20:00+05:30,60747.62,60764.34,60732.32,60758.62,0
2023-01-04 13:25:00+05:30,60760.57,60785.89,60756.57,60768.0,0
2023-01-04 13:30:00+05:30,60765.46,60790.03,60752.26,60782.53,0
2023-01-04 13:35:00+05:30,60784.99,60830.07,60781.23,60812.05,0
2023-01-04 13:40:00+05:30,60811.03,60855.09,60802.85,60842.23,0
2023-01-04 13:45:00+05:30,60841.41,60861.9,60837.47,60847.85,0
2023-01-04 13:50:00+05:30,60848.43,60919.42,60842.51,60908.71,0
2023-01-04 13:55:00+05:30,60908.74,60931.16,60895.41,60898.51,0
2023-01-04 14:00:00+05:30,60898.81,60947.13,60890.96,60943.44,0
2023-01-04 14:05:00+05:30,60944.65,60950.78,60928.12,60932.57,0
2023-01-04 14:10:00+05:30,60932.21,60945.7,60903.27,60945.7,0
2023-01-04 14:15:00+05:30,60945.86,60954.72,60931.38,60931.38,0
